title,tag,info,comments,content
﻿解忧杂货店,豆瓣图书标签: 小说,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,(505949人评价),"现代人内心流失的东西，这家杂货店能帮你找回——
僻静的街道旁有一家杂货店，只要写下烦恼投进卷帘门的投信口，第二天就会在店后的牛奶箱里得到回答。
因男友身患绝..."
活着,豆瓣图书标签: 小说,余华 / 作家出版社 / 2012-8-1 / 20.00元,(307184人评价),《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵...
追风筝的人,豆瓣图书标签: 小说,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,(512690人评价),12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟...
白夜行,豆瓣图书标签: 小说,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元,(375936人评价),“只希望能手牵手在太阳下散步”，这个象征故事内核的绝望念想，有如一个美丽的幌子，随着无数凌乱、压抑、悲凉的故事片段像纪录片一样一一还原：没有痴痴相思，没有海...
嫌疑人X的献身,豆瓣图书标签: 小说,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,(311979人评价),"百年一遇的数学天才石神，每天唯一的乐趣，便是去固定的便当店买午餐，只为看一眼在便当店做事的邻居靖子。
靖子与女儿相依为命，失手杀了前来纠缠的前夫。石神提出由..."
三体,豆瓣图书标签: 小说,刘慈欣 / 重庆出版社 / 2008-1 / 23.00,(304073人评价),文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的...
围城,豆瓣图书标签: 小说,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,(301067人评价),《围城》是钱钟书所著的长篇小说。第一版于1947年由上海晨光出版公司出版。1949年之后，由于政治等方面的原因，本书长期无法在中国大陆和台湾重印，仅在香港出...
平凡的世界（全三部）,豆瓣图书标签: 小说,路遥 / 人民文学出版社 / 2005-1 / 64.00元,(190682人评价),《平凡的世界》是一部现实主义小说，也是一部小说形式的家族史。作者浓缩了中国西北农村的历史变迁过程，在小说中全景式地表现了中国当代城乡的社会生活。在近十年的广...
红楼梦,豆瓣图书标签: 小说,[清] 曹雪芹 著、高鹗 续 / 人民文学出版社 / 1996-12 / 59.70元,(215287人评价),《红楼梦》是一部百科全书式的长篇小说。以宝黛爱情悲剧为主线，以四大家族的荣辱兴衰为背景，描绘出18世纪中国封建社会的方方面面，以及封建专制下新兴资本主义民主...
月亮与六便士,豆瓣图书标签: 小说,[英] 威廉·萨默塞特·毛姆 / 徐淳刚 / 浙江文艺出版社 / 2017-1-1 / 39.80元,(90376人评价),"“满地都是六便士，他却抬头看见了月亮。”
银行家查尔斯，人到中年，事业有成，为了追求内心隐秘的绘画梦想，突然抛妻别子，弃家出走。他深知：人的每一种身份都是一..."
百年孤独,豆瓣图书标签: 小说,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,(223215人评价),《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。...
